"시군명","연락처","행사주최","장소","시간","행사종료일","행사시작일","내용","제목","고유번호"
"거제시","055-680-1050","거제시문화예술재단","거제문화예술회관 대극장","11:00       14:00","2022-12-10","2022-12-10","행사설명 : 리차드 커티스의 세계적 베스트셀러 동화책을 뮤지컬로 각색한 작품                        입장료(관람료) : R석 3만원 / S석 2만원                    24개월 이상 관람가","가족뮤지컬 <산타와 빈양말>","41842984"
"거제시","","그라시아스합창단","거제문화예술회관 대극장","19:30","2022-12-06","2022-12-06","행사설명 : 예수탄생을 그린 뮤지컬형태의 공연                          입장료(관람료) : V석 10만원 / R석 8만원 / S석 6만원               초등학생이상 관람가","2022 크리스마스 칸타타","41842983"
"거제시","","거제연합합창단","거제문화예술회관 소극장","19:30","2022-12-05","2022-12-05","행사설명 : 지역합창단 공연                        입장료(관람료) : 무료        초등학생이상 관람가","거제연합합창단이 함께하는 평화콘서트","41842982"
"거제시","055-680-1050","거제시문화예술재단","거제문화예술회관 대극장","10:00","2022-12-02","2022-12-02","행사설명 : 한해동안 고생한 수능생들을 위한 공연                      입장료(관람료) : 무료 초대공연(일반관객 불가)","문화가 있는 날 - 수고했네!","41842981"
"거제시","055-634-1065","제산초등학교","거제문화예술회관 대극장","13:30","2022-12-01","2022-12-01","행사설명 : 제산초 재학생 오케스트라의 발표회                       입장료(관람료) : 초대공연(일반관객 불가)","제산초오케스트라 제9회 정기연주회","41842980"
"거제시","055-639-3396","거제시","장승포항 친수공원","16:00","2022-12-31","2022-12-31","식전 공연, 개막식, 불꽃연화, 식후 공연 등","2022년 장승포항 송년불꽃축제","41842979"
"거제시","","챔버소사이어티","거제문화예술회관 소극장","19:30","2022-12-27","2022-12-27","재즈, 클래식 연주, 참여형 무대 등","제15회 챔버소사이어티 정기연주회","41842978"
"거제시","","한국음악협회 거제지부","거제문화예술회관 소극장","19:30","2022-12-22","2022-12-22","오페라, 성악 공연","제4회 벨라보체 정기연주회","41842977"
"거제시","","인센토 플루트 앙상블","거제문화예술회관 소극장","19:30","2022-12-15","2022-12-15","앙상블 단체 연주, 합주, 게스트 연주 등","제7회 거제 인센토 플루트 앙상블 연주회","41842976"
"거제시","","거제시민합창단","거제문화예술회관 소극장","19:30","2022-12-14","2022-12-14","합창, 중창, 앙상블연주","제10회 거제시민합창단 정기연주회","41842975"
"거제시","","거제시그린나래합창단","거제문화예술회관 소극장","19:00","2022-12-09","2022-12-09","발달장애인으로 구성된 합창단정기연주회","거제시그린나래합창단 정기연주회","41842974"
"거제시","","거제시합창단","거제문화예술회관 소극장","19:30","2022-12-08","2022-12-08","합창, 중창, 초청연주 등","거제시합창단 정기연주회","41842973"
"거제시","","거제남성합창단","거제아트홀","19:30","2022-12-06","2022-12-06","거제남성합창단, 거제소나무합창단, 거제아트앙상블, 블루시티어린이예술과 협연으로 가족과 가장들을 위한 주요 프로그램 구성","제1회 거제 시민과 함께하는 ""가장음악회-힘내자! 우리""","41842972"
"거제시","","김선정","상문동 행복누림 문화센터 전시실","10:00","2022-12-10","2022-12-05","평면작품 15점 전시","김선정 개인전","41842971"
"거제시","-","거예모","거제시청소년수련관","16:00-18:00","2022-12-03","2022-12-03","거제관련 주제 창작노래 가요 경연대회","거제창작가요제","41842970"
"거제시","055-633-7875","거제또바기장애인풍물단","거제시청소년수련관 대강당","18:30","2022-12-01","2022-12-01","장애인 및 비장애인으로 구성된 문화예술팀의 국악공연","제6회 거제또바기장애인풍물단 정기공연","41842969"
"밀양시","","김상일","밀양아리랑아트센터 제2 전시실","10:00~18:00","2023-01-01","2022-12-27","▶ 조각가 김상일의 조각작품 개인전시 개최","김상일 개인전","41842967"
"밀양시","","(사)한국미술협회 밀양지부","밀양아리랑아트센터 제1 전시실","10:00~18:00","2023-01-01","2022-12-27","▶ 밀양미술협회 단체 전시로 미술작품 60여점 전시","밀양의 사계","41842966"
"밀양시","-","밀양시","밀양아리나    스튜디오1극장","14:0016:30","2022-12-24","2022-12-24","크리스마스연극","12월 밀양아리나송년대축제","41842965"
"밀양시","055-359-4500","밀양문화관광재단","밀양아리랑아트센터 대공연장","19:30","2022-12-23","2022-12-23","▶ 섬세한 발라드부터 강한 비트의 노래까지 모든 장르를     그녀가 가진 특유의 감성과 따뜩한 음색, 혼이 담겨있는     목소리로 감동을 선사할 공연","웅산의 Jazz Chistmas","41842964"
"밀양시","-","밀양시","밀양아리나    스튜디오2극장","10:30~16:30","2022-12-24","2022-12-20","전시","12월 밀양아리나송년대축제","41842963"
"밀양시","","단장마을도예문화센터 운영위원회","밀양아리랑아트센터 제1, 2전시실","10:00~18:00","2022-12-25","2022-12-20","▶ 단장마을면도예문화센터 운영위원회에서   진행하는 도예공모전 전시","경남 찻사발 국제공모전 및 차우리미 전국공모전","41842962"
"밀양시","","밀성여자중학교","밀양아리랑아트센터 대공연장","17:00","2022-12-20","2022-12-20","▶ 밀성여자중학교 현악오케스트라의 정기연주회","제24회 밀성여자중학교 현악오케스트라 정기연주회","41842961"
"밀양시","","한국무용협회 밀양지부","밀양아리랑아트센터 대공연장","19:00","2022-12-18","2022-12-18","▶ 한국무용협회 밀양지부의 현대무용 공연","제15회 소극장축제‘춤추며 놀자’","41842960"
"밀양시","-","밀양시","밀양아리나    스튜디오2극장","14:0016:30","2022-12-17","2022-12-17","셰익스피어 연극","12월 밀양아리나송년대축제","41842959"
"밀양시","","밀양시소년소녀합창단","밀양아리랑아트센터 대공연장","19:00","2022-12-16","2022-12-16","▶ 밀양시소년소녀합창단의 합창 정기공연","제15회 밀양시 소년소녀 합창단 정기연주회","41842958"
"밀양시","","밀양환경미술협회","밀양아리랑아트센터 제1 전시실","10:00~18:00","2022-12-18","2022-12-13","▶ 밀양시 환경미술협회 회원 작품 50여점 전시","환경미술협회전","41842957"
"밀양시","-","극단메들리","공간사랑","19:00~20:20","2022-12-12","2022-12-12","- 연극공연 진행","공간사랑이야기","41842956"
"밀양시","-","밀양시","밀양아리나    스튜디오2극장","14:0018:30","2022-12-10","2022-12-10","코믹연극","12월 밀양아리나송년대축제","41842955"
"밀양시","055-359-4500","밀양문화관광재단","밀양아리랑아트센터 대공연장","13:00 ~18:00","2022-12-10","2022-12-10","▶ 관내 생활문화예술동아리들의 기량을 뽐내는 자리로       다양한 장르의 공연 및 전시 진행","2022생활문화예술동아리 페스티벌","41842954"
"밀양시","055-359-6057","밀양시","밀양시립박물관","11:00~12:0013:00~14:00","2022-12-11","2022-12-10","- 테라리움 캔들 만들기","문화가 있는 날' 체험 프로그램","41842953"
"밀양시","","밀양시 합창단","밀양아리랑아트센터 대공연장","19:00","2022-12-08","2022-12-08","▶ 밀양시 합창단의 합창 정기공연","밀양시합창단 26회 정기연주회","41842952"
"밀양시","","밀양시 공예협회","밀양아리랑아트센터 제1 전시실","10:00~18:00","2022-12-11","2022-12-06","▶ 밀양시 공예협회 회원 작품 50여점 전시","밀양시 공예협회전","41842951"
"밀양시","055-359-4500","밀양문화관광재단","밀양아리랑아트센터 소공연장","17:00","2022-12-04","2022-12-04","▶ 2022 밀양 거리예술단 「Street Performer」 성과발표회","어쩌다 크리스마스","41842950"
"밀양시","-","밀양시","밀양아리나    스튜디오2극장","14:0018:30","2022-12-03","2022-12-03","마술쇼","12월 밀양아리나송년대축제","41842949"
"밀양시","055-359-6057","밀양시","밀양시립박물관","14:00~16:00","2022-12-03","2022-12-03","- 체험놀이","내맘대로 놀이터'체험 프로그램","41842948"
"밀양시","055-359-4526","경상남도, 밀양시, (사)한국연극협회 / (사)한국연극협회 경남지회","밀양아리랑아트센터 소공연장청소년수련관 강당","16:0019:00","2022-12-22","2022-12-01","본선경연, 부대행사 등","제26회 대한민국청소년연극제","41842947"
"밀양시","","김윤경","밀양아리랑아트센터 제2 전시실","10:00~18:00","2022-12-04","2022-11-29","▶ 사진작가 김윤경의 두 번째 개인전시로 사진작품 33점 내외 전시","김윤경의 두 번째 사진마당‘빛 그리메’","41842946"
"밀양시","","밀양민화협회","밀양아리랑아트센터 제1 전시실","10:00~18:00","2022-12-04","2022-11-29","▶ 밀양민화협회 회원 20인의 민화작품 40여점 전시","제7회 밀양민화협회 정기전","41842945"
"김해시","031-633-4864","극단 가람","김해문화의전당누리홀","11:0013:0015:00","2022-12-31","2022-12-31","그림책 작가 앤서니 브라운의 작품의 엄마의 소중함과 행복한가정의 필요조건을 배우는 가족극","앤서니브라운의 돼지책","41842944"
"김해시","055-320-1234","(재)김해문화재단","김해문화의전당누리홀","11:0014:00","2022-12-29","2022-12-29","발달장애를 가진 아동과 청소년, 성인 관객의 도전적 행동이나 특별한 소리, 감각적 특성에 의한 반응들을 공연의 일부로 수용 ‘배리어프리 공연’","미디어퍼포먼스<노래가되자>","41842943"
"김해시","055-320-1234","(재)김해문화재단","김해문화의전당마루홀","19:30","2022-12-30","2022-12-29","작곡가 푸치니의 오페라 중 가장 비극적이고 사실적인 ‘토스카’는 경건하고 성스러운 공간인 성당이 인간의 탐욕으로 무너지고 사람의 마음도 그와 함께 타락하는 내용이지만 서정적이고 독보적으로 아름다운 아리아로 오랫동안 사랑받는 작품","오페라 토스카","41842942"
"김해시","-","서아림","김해서부문화센터 하늬홀","19:30","2022-12-29","2022-12-29","작곡가 스카를라티, 쇼팽, 드뷔시, 라흐마니노프 등 시대별 작곡가의 작품을 통해 다양한 색채와 깊이있는 연주를 선보이는 피아노 독주회","서아림 피아노 독주회","41842941"
"김해시","055-344-1800","(재)김해문화재단","김해서부문화센터 하늬홀","14:00","2022-12-24","2022-12-24","어린이들의 눈높이에 맞춘 이야기와 음악적 특색에 맞춰 구성된 앙상블 연주로 12월 공연은 크리스마스 특별 공연으로 작곡가 차이스코프스키의 아름다운 발레 음악과 함께 펼쳐지는 환상적인 발레 공연","12월 우아한 클래식-호두까기인형 하이라이트","41842940"
"김해시","055-337-8358","(재)김해문화재단","레일파크 일원","11:00~15:00","2022-12-25","2022-12-24","산타 및 삐에로 분장 다과 및 풍선 나눔 행사동반 사진 촬영","크리스마스 이벤트 실시","41842939"
"김해시","055-320-1234","(재)김해문화재단","김해문화의전당누리홀","19:30","2022-12-22","2022-12-22","랩소디 인 블루(Rhapsody In Blue) 등 9개 여곡의 클래식,재즈,탱고의 음악이야기","저녁의 음악회 - Serenade in Winter Night","41842938"
"김해시","1577-3363","(재)김해문화재단클립서비스, SPA엔터테인먼트","김해문화의전당마루홀","22,23일 19:3024일    14:00        19:0025일    14:00","2022-12-25","2022-12-22","일년 중 단 하룻밤 열리는 고양이들의 축제, 7550만 명이 격찬한 명작,전세계 프로덕션에서 활약한 <캣츠>에 최적화된 배우들의 오리지널 공연","뮤지컬 캣츠 내한 공연-김해 (Musical CATS)","41842937"
"김해시","","크레센도","김해서부문화센터 하늬홀","19:30","2022-12-22","2022-12-22","김해출신 음악가들이 모여 순수 클래식 음악을 선보이는 27회 음악회","27th 크레센도 음악회","41842936"
"김해시","070-8824-0356","김해문화재단문화도시센터","김해문화의전당","미정","2022-12-21","2022-12-21","마을미디어 지원사업 관련 활동공유 및 성과 발표","마을미디어 지원사업 성과발표","41842935"
"김해시","055-344-1800","(재)김해문화재단","김해서부문화센터 하늬홀","19:30","2022-12-20","2022-12-20","영상으로 보는 예술의전당 영상화 콘텐츠 사업으로 조선왕조 26대 고종의 왕후로서 비극적 삶뿐만 아니라 자애로운 어머니의 모습, 여성 정치가로서의 고뇌를 담은 내용.","SAC ON SCREEN <뮤지컬 명성황후>","41842934"
"김해시","","가야가락예술단","김해서부문화센터 하늬홀","15:00","2022-12-18","2022-12-18","가야를 대표하는 문양의 탁본을 시민들이 직접 찍은 뒤, 걱정거리와 새해 소망을 적어 배 위에 띄워 보내며 묵은해를 잘 씻어넘기고, 오색줄을 함께 꼬며 힘차게 다가올 신년에 대한 소망과 염원을 담도록 무대를 선보이는 가야별신굿","가야가락예술단 제14회 정기연주회","41842933"
"김해시","055-344-1800","(재)김해문화재단","김해서부문화센터 하늬홀","17:00","2022-12-17","2022-12-17","서정적인 멜로디로 마음의 쉼표를 안겨주는 감성 피아니스트 유키 구라모토의 공연으로 피아노 솔로는 물론, 바이올린, 첼로, 플롯, 클라리넷으로 구성된 콰르텟과의 연주로 진행.","유키 구라모토 콘서트","41842932"
"김해시","055-320-1234","(재)김해문화재단","김해문화의전당누리홀","19:00","2022-12-17","2022-12-17","흉내 낼 수 없는 독특한 감성의 가사와 모오한적인 사운드를 가진 밴드 공연","콘서트 누리<쏜애플>","41842931"
"김해시","070-8824-3863","김해문화재단문화도시센터","김해문화의전당(미정)","14:00~17:30","2022-12-16","2022-12-15","로컬 창업에 대한 흥미를 느끼는 청년 (예비)창업가 대상으로 실제 창업 사례 공유 및 트렌드 특강 진행","도시 트렌드 in 김해 ""가고 싶은 도시, 머물고 싶은 도시""","41842930"
"김해시","055-320-1271","김해문화재단","영상미디어센터","10:00~21:00","2022-12-17","2022-12-14","영화상영회, 영화특강, 토크쇼 등","시민영화제","41842929"
"김해시","055-340-7006","(재)김해문화재단 클레이아크김해미술관","클레이아크김해미술관 돔하우스","10:00~18:00","2023-07-30","2022-12-14","건축가 민성진의 주요 작업 아카이브와 파빌리온 프로젝트 전시","2022 하반기 기획전<돔하우스 건축 프로젝터: 건축가 민성진, 기능과 감각의 레이어링>","41842928"
"김해시","","김해필하모닉오케스트라","김해서부문화센터 하늬홀","19:30","2022-12-14","2022-12-14","지역의 실력있는 연주자들로 구성되어 베토벤 명작을 선보이는 김해필하모닉오케스트라 정기연주회","김해필하모닉오케스트라 2022년 정기연주회","41842927"
"김해시","055-340-7006","김해시","클레이아크김해미술관","11:00~18:00","2022-12-13","2022-12-13","돔하우스 건축프로젝트 기자간담회 및 오프닝 행사","2022년 클레이아크김해미술관 하반기 기획전 전시 개최","41842926"
